FISCAL_YR,Channel,total_net_sales,total_custs,FISCAL_QTR,FISCAL_MO,recency_net_sales_total,recency_cust_total,Recency,chan_rec_sales_pct,chan_rec_cust_pct,chan_rec_seg_sales,chan_rec__seg_custs,Customer_Type,Segment,chan_rec_sales,chan_rec__custs,sales_pct,cust_pct,d_p_cust
2018,D,13975449.0619727,130751,1,1,568908.952712297,6912,0,4.07077404231898e-002,5.28638404295187e-002,547016.662672281,6489,NTB_1,1,578286.502749205,6688,0.9459267,0.9702452,84.2990696058378
2018,D,13975449.0619727,130751,1,1,568908.952712297,6912,0,4.07077404231898e-002,5.28638404295187e-002,31269.8400769234,199,NTB__Omni,_Omni,578286.502749205,6688,5.407327e-002,2.975478e-002,157.134874758409
2018,D,23636373.039701,216439,1,2,1302571.22333169,15401,0,5.51087606014602e-002,7.11563073198453e-002,1219507.37368488,14066,NTB_1,1,1359945.78346174,14759,0.8967323,0.9530456,86.6989459466005
2018,D,23636373.039701,216439,1,2,1302571.22333169,15401,0,5.51087606014602e-002,7.11563073198453e-002,140438.409776859,693,NTB__Omni,_Omni,1359945.78346174,14759,0.1032677,4.69544e-002,202.652827960835
2018,D,19606276.8700883,164841,1,3,1358877.98128366,13249,0,6.93083133675824e-002,8.03744214121487e-002,1290771.98130226,12276,NTB_1,1,1409439.32156214,12804,0.9158053,0.9587629,105.145974364798
2018,D,19606276.8700883,164841,1,3,1358877.98128366,13249,0,6.93083133675824e-002,8.03744214121487e-002,118667.34025988,528,NTB__Omni,_Omni,1409439.32156214,12804,8.419471e-002,4.123711e-002,224.748750492197
2018,D,20889261.7653382,183767,2,4,1464415.54216313,15938,0,7.01037479741413e-002,8.67293910223272e-002,1382787.88234019,14670,NTB_1,1,1534301.01240311,15404,0.9012494,0.95235,94.2595693483431
2018,D,20889261.7653382,183767,2,4,1464415.54216313,15938,0,7.01037479741413e-002,8.67293910223272e-002,151513.130062915,734,NTB__Omni,_Omni,1534301.01240311,15404,9.875059e-002,4.764996e-002,206.421158123863
2018,D,21463118.0543538,200209,2,5,1119251.6281724,13021,0,5.21476714304963e-002,6.50370362970696e-002,1037341.49769998,11641,NTB_1,1,1168690.59872019,12350,0.88761,0.9425911,89.1110297826627
2018,D,21463118.0543538,200209,2,5,1119251.6281724,13021,0,5.21476714304963e-002,6.50370362970696e-002,131349.101020209,709,NTB__Omni,_Omni,1168690.59872019,12350,0.11239,5.740891e-002,185.259662934005
